"","con","ext_all","n_basal","ext_big","ext_small","ext_BAS","shan_all","shan_big","shan_small","shan_BAS","rand_shan_36","rand_shan_32","rand_shan_28","rand_shan_24","rand_shan_20","rand_shan_16","rand_shan_12","rand_shan_8","rand_shan_4","rand_ext_36","rand_ext_32","rand_ext_28","rand_ext_24","rand_ext_20","rand_ext_16","rand_ext_12","rand_ext_8","rand_ext_4","rand_shanTL_36","rand_shanTL_32","rand_shanTL_28","rand_shanTL_24","rand_shanTL_20","rand_shanTL_16","rand_shanTL_12","rand_shanTL_8","rand_shanTL_4","rand_extTL_36","rand_extTL_32","rand_extTL_28","rand_extTL_24","rand_extTL_20","rand_extTL_16","rand_extTL_12","rand_extTL_8","rand_extTL_4"
"1",0.0539947507204488,12,13,5,3,0,2.47090701649872,1.47178987060353,1.8922725428942,2.45169643856689,1.95452121063861,1.06013366290958,1.44431621027928,1.38334887765512,0.53142020877937,0.764933994199333,0.302137744632499,1.11972969705354,0.192487144000324,3,2,4,4,5,2,2,1,2,1.14242252422132,0.640348916655742,1.85991211149196,1.00064403341082,0.908360230970824,0.182298430865824,0.689297246844246,0.376611131183822,0.116546946970002,5,6,4,5,3,4,1,2,0
"2",0.0549137157620862,21,14,4,1,0,2.23287582214142,1.89768092992418,2.53557496711603,2.20789024584813,1.55276355829747,2.01362146988254,1.44301415096425,1.20829788289984,1.76782443518217,0.434585013672343,0.484823224997947,0.234898791339238,0.346387769468725,12,5,7,11,1,3,1,4,1,1.52445504271461,2.02754585347027,1.67800348947054,1.53847463521839,1.7939925896255,0.796491968564567,1.17068718610788,0.000453026336529236,2.27284279824427e-05,10,6,8,4,5,4,1,4,1
"3",0.0787234352668747,17,14,10,1,0,2.24966017469952,1.52897474248503,2.30103751643593,2.20330649754838,1.72354620767071,1.35839685597997,1.90311590711778,1.35658075508932,0.779177898320752,1.46050685839199,0.671631109757569,0.80065252884055,0.0101684642036281,8,9,5,7,4,2,2,0,0,1.84039143861293,1.59826916212169,1.32128445380719,1.20378087785077,1.33197635157757,1.06593280569388,0.820088266429797,0.154781307894152,0.60974269805582,8,3,4,6,3,2,3,0,0
"4",0.0926490620011464,9,12,4,0,0,1.95198254746264,1.67987524908681,2.53835503769217,1.92823089747709,2.0268980135762,1.27037229837666,1.7109033527336,1.00692365590074,1.4794258271296,1.27565106390713,0.874611406391053,0.946304748238039,0.0140696066782511,5,3,3,5,1,0,2,1,0,1.764602374647,1.89045770305174,1.88561482205951,1.24476286196203,1.49004416299287,1.14367736777888,0.758606335678084,0.580612162081996,0.193784793222898,4,2,2,4,0,3,2,2,0
"5",0.109167257416993,18,12,4,3,0,2.1567952581615,0.550265394191905,1.63255677450658,2.13299386797212,0.689973391975576,0.656319563671784,1.27740257481155,0.631342991688008,1.31959687205187,0.676374986045617,0.760092589003244,3.95427589631672e-05,0.000277454616150934,6,7,7,6,5,5,2,5,2,1.10049697303946,0.693717896818237,0.889078206330729,0.95156833998103,0.751417200506521,1.21463854343167,1.09610872265625,0.0301139666768395,0.522238824481834,7,8,5,5,4,2,2,3,1
"6",0.110398205067031,11,16,5,1,0,2.62293288251556,1.75381852045877,2.01159172390841,2.60599082915374,1.21842947266938,1.24302660070973,0.860098265456735,0.32954153152314,0.575346198704924,0.718112936959789,1.12977131175173,0.608442673722155,0.740858932657683,4,5,3,4,1,2,1,1,1,1.12120465054293,1.16203546840591,1.19181036644205,0.626807786021779,0.38546769470543,1.08649954571701,0.767530984388271,0.0312469591733678,0.00464701637865637,5,4,4,6,3,3,2,1,1
"7",0.113337871292606,23,9,7,7,0,1.68844925270708,1.4326409292805,2.18966327272451,1.67147823377702,1.88506117037876,1.64726961055172,1.19896277910477,0.914553682136347,1.29801600521094,0.553246966295299,0.793505168535966,0.0618921349942039,0.0187013535270441,11,7,8,6,7,4,3,2,1,1.86296241431535,1.68530261253832,0.949417739109475,1.59798778718879,1.54363508760852,0.990865018647477,1.18200330599905,0.192344730491812,0.000679567361696915,8,6,10,9,5,5,3,2,2
"8",0.127983838575892,44,10,18,5,0,1.5989548629855,0.00944350779723002,2.21259422208562,1.56597660040118,1.9387426617393,0.863069260809855,0.894071276454324,0.0166975840161476,0.917346297232597,1.00376012025138,5.375360549325e-06,0.0537630721667621,1.26992664321475e-12,15,20,19,17,11,8,10,3,2,1.6613592246182,1.44422936338752,1.16578213472258,1.27695957330526,1.05148653266636,1.08842709782291,0.765287706448643,0.742676078945495,0,20,16,17,13,8,10,6,4,4
"9",0.158373328181915,5,10,4,0,0,1.71529589434213,1.29310623052915,2.33308239998682,1.70032144040516,1.38079955834377,1.70143849609761,1.78510847571201,1.35600120815745,1.12913385009223,1.50624894054568,1.13561816936487,1.10469167704961,0.000202801473024465,1,1,1,2,1,1,0,0,1,1.7124098830213,1.78395444998873,1.49920868459474,1.69867376603691,0.7229939477017,1.19816911381483,0.689380056593715,1.23962563212894,0.630458919273272,4,1,2,1,0,1,2,0,0
"10",0.199434112710878,20,10,6,3,0,1.74890744612424,1.16689193086986,2.24857123390856,1.71998315105366,1.62673828025617,0.911007143558974,0.978667949129442,1.11095662101146,1.09445284372142,0.327447381131098,0.528207245298437,0.169186990456914,0.35962900760054,8,9,6,7,2,2,4,1,0,1.31719844020159,1.34656479812002,1.58904193704029,0.789325005689732,1.0356606469475,1.00986590461134,0.155275189737486,0.0208200368735838,0.0201786911675289,11,9,8,7,3,2,3,2,0
"11",0.272783582634293,74,4,24,6,0,0.978307312964356,0,1.95453435180236,0.407007674841288,1.22086148311711,1.15495677579673,0.933740863871764,0.167093492305481,0.444846447553037,0.625081055666435,0.696846628595484,0,0,29,27,24,18,16,14,8,8,3,1.06747685444021,0.487472161029766,1.22947319724108,0.513224992402198,0.926042734657553,0,0.491036571273795,0.0023680698380109,0,28,27,22,21,15,15,9,6,3
"12",0.282310547097586,38,4,24,3,0,0.479410592297874,0,2.04087872037041,0.365791080652414,1.52347462870676,1.68681247595746,1.52593600805514,1.06724184922247,0.156616636679505,0.456893437428122,0.317606145813731,0.70220639150126,7.8287007510769e-08,13,10,15,7,7,5,5,2,2,1.48355170768246,1.47713490668057,1.01949706956493,1.0858001637877,1.12336055691315,0.455147224332823,1.30516458135155,0.306823680281153,2.60353464091548e-05,12,14,11,10,9,10,5,3,2
"13",0.282767924224026,41,5,24,3,0,1.0702778198776,0,1.74926643917921,0.781725791784625,1.42237598977099,0.354597468011317,0.328809934254401,0.276915521717307,0.579919177561881,0.693477187842992,1.23404952096183,0.00557234941776022,0.477991883552156,19,12,16,13,8,4,7,5,1,1.49279905467502,1.06717061458414,0.31596321521931,0.324530524532138,0.689262283315115,0.294152311241811,0.614311248635349,0.937980897208683,0.364381301628081,12,15,14,12,9,8,6,2,1
"14",0.343404153268784,60,4,22,1,0,1.7241270762703,0.692052270912875,2.04584690946022,1.21267961913125,1.72811062420095,1.20401325610984,1.29239985421119,1.14835214789215,0.149515962360666,0.702853743323328,1.01602966032327,1.77726314695738e-12,0,21,22,15,16,14,9,6,6,3,0.951756751399764,1.4815231393068,1.04821361099963,1.11072047519641,1.25839012182441,1.07243340952135,0.335770021509337,0.117663919233521,0,23,20,15,18,10,10,8,6,3
"15",0.343618531827815,23,9,16,0,0,1.6528663241269,0.498255948061858,2.17007555876047,1.6350008981873,1.36917173060775,1.62527757754488,1.3439351716387,1.16462608452025,1.23245606256607,0.480031724088536,1.20038112225014,0.945935218405788,0.0811253754122159,8,8,7,8,6,7,1,3,1,1.41417664300793,0.955041305645558,0.900058730436443,1.44719580783604,0.636362290920054,0.436403724835144,1.10232353816201,0.19881270534057,0.00684239926435646,10,11,9,5,3,5,3,1,0
